sample_id,sample_id_old,qpcr_sample_id,collect_site,frog_id,site,species,sample_status,extract_plate_id,extract_date,extract_lab,extract_tech,extract_loc,extract_well_pos,extract_neg_cont,extract_bd_pos_cont,qpcr_plate_id,qpcr_date,qpcr_file_name,qpcr_lab,qpcr_tech,qpcr_well_pos,qpcr_diluted,qpcr_neg_cont,sample_quality,sample_ipc,sample_rerun,sample_bd,sample_bd_ct,sample_bd_qty,sample_bd_swab_qty,sample_bsal,sample_bsal_ct,sample_bsal_qty,sample_bsal_swab_qty,notes,temp_pcr_id
171006-51-NM-NM,171006-2151-NM,171006 215.1,NV,171006-2151,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C10,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C10,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4424
171006-53-NM-NM,171006-2053-NM,171006 205.3,NV,171006-2053,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F4,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F4,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4426
171006-53-NM-NM,171006-2153-NM,171006 215.3,NV,171006-2153,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C11,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C11,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4426
171006-54-NM-NM,171006-2054-NM,171006 205.4,NV,171006-2054,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F5,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F5,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4427
171006-54-NM-NM,171006-2154-NM,171006 215.4,NV,171006-2154,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C12,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C12,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4427
171006-60-NM-NM,171006-2060-NM,171006 206.0,NV,171006-2060,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F9,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F9,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4431
171006-60-NM-NM,171006-2160-NM,171006 216.0,NV,171006-2160,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,D1,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,D1,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4431
171006-61-NM-NM,171006-2061-NM,171006 206.1,NV,171006-2061,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F10,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F10,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4432
171006-61-NM-NM,171006-2161-NM,171006 216.1,NV,171006-2161,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,D2,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,D2,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4432
171006-62-NM-NM,171006-2062-NM,171006 206.2,NV,171006-2062,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F11,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F11,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4433
171006-62-NM-NM,171006-2162-NM,171006 216.2,NV,171006-2162,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,D3,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,D3,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4433
171006-63-NM-NM,171006-2063-NM,171006 206.3,NV,171006-2063,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,F12,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,F12,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4434
171006-63-NM-NM,171006-2163-NM,171006 216.3,NV,171006-2163,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,D4,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,D4,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4434
171006-64-NM-NM,171006-2064-NM,171006 206.4,NV,171006-2064,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,G1,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,G1,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4435
171006-64-NM-NM,171006-2164-NM,171006 216.4,NV,171006-2164,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,D5,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,D5,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4435
171006-70-NM-NM,171006-2070-NM,171006 207.0,NV,171006-2070,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,G3,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,G3,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4438
171006-70-NM-NM,171006-2170-NM,171006 217.0,NV,171006-2170,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,D7,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,D7,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4438
